t,lower1,upper1,lower2,upper2,mean,rep9
157,10655,25959,8580,42706,18760.0234452217,13709
158,10993,26324,8786,43536,19178.3236127054,13962
159,11327,26752,8969,44337,19593.4566222954,14206
160,11654,27232,9127,45262,20005.0011136745,14437
161,11947,27605,9313,46322,20410.5593381696,14706
162,12275,28025,9476,47050,20803.9350372997,14928
163,12553,28577,9629,47884,21175.7341337228,15168
164,12838,29104,9783,48601,21542.5400263601,15383
165,13100,29512,9914,49286,21918.773037401,15627
166,13327,29944,10053,49940,22262.9217101454,15826
167,13561,30346,10173,50583,22613.5709906115,16022
168,13805,30830,10292,51246,22956.8898967957,16226
169,14054,31197,10402,51892,23306.0636997697,16446
170,14275,31654,10518,52522,23632.4375441973,16627
171,14509,32019,10639,53263,23960.1253514337,16816
172,14716,32411,10733,53935,24288.4961577621,16984
173,14913,32787,10817,54642,24588.4187217832,17143
174,15101,33139,10920,55320,24887.7219462581,17310
175,15257,33551,11018,55997,25194.3039004431,17467
176,15441,33916,11105,56660,25487.0772468734,17595
177,15613,34250,11187,57262,25765.265699625,17745
178,15764,34451,11255,57801,26056.9935394084,17885
179,15946,34810,11347,58334,26339.5413280151,18022
180,16074,35183,11429,58850,26614.6040648019,18159
181,16274,35509,11508,59342,26876.9321285617,18313
182,16440,35933,11582,59886,27132.2947220063,18436
183,16564,36212,11637,60409,27396.9609054576,18560
184,16695,36507,11718,61010,27655.2732958196,18683
185,16827,36819,11776,61555,27896.0500563882,18799
186,16959,37208,11858,62085,28146.6634744602,18931
187,17062,37538,11901,62507,28379.7334199407,19049
188,17177,37916,11961,63115,28611.0199995076,19164
189,17320,38245,12006,64139,28835.9299901427,19293
190,17400,38573,12046,64626,29059.7209617175,19406
191,17528,38838,12111,65098,29276.2952170975,19512
192,17662,39175,12173,65897,29494.5912915664,19621
193,17768,39505,12227,66412,29699.2767496104,19709
194,17874,39836,12271,67101,29903.6535529231,19810
195,18007,40225,12317,67440,30103.7713526371,19914
196,18098,40576,12375,67904,30297.9948558888,20004
197,18167,40790,12422,68449,30489.2093841674,20115
198,18280,41086,12473,68929,30690.0860074157,20198
199,18367,41421,12510,69386,30877.5931179207,20285
200,18432,41758,12555,69819,31065.0337375269,20371
201,18552,42114,12587,70301,31242.9872271348,20453
202,18688,42379,12616,70670,31428.1798267016,20521
203,18761,42542,12646,71404,31596.2360248825,20606
204,18834,42807,12679,71729,31769.0336787721,20691
205,18910,43102,12721,72078,31939.6031026306,20748
206,19028,43447,12770,72391,32105.8250657863,20813
207,19123,43672,12798,72714,32265.6589876617,20880
208,19276,43902,12837,73018,32423.4110128976,20949
209,19374,44081,12878,73531,32582.7092814824,21011
210,19485,44287,12910,73720,32741.2919922724,21086
211,19613,44598,12959,74097,32895.535569013,21142
212,19698,44891,13013,74424,33031.4535450593,21213
213,19772,45131,13043,74785,33173.7729635436,21265
214,19879,45386,13073,75158,33314.0215208802,21323
215,19952,45567,13128,75467,33455.3924030399,21393
216,20070,45758,13165,75784,33593.9691195356,21447
217,20141,45958,13202,76094,33729.4403392478,21495
218,20219,46276,13236,76256,33868.3533748723,21548
219,20324,46499,13330,76623,33997.532834584,21594
