t,lower1,upper1,lower2,upper2,mean,rep9
158,2949,5572,2304,8879,4179.84853395061,4101
159,3005,5674,2345,9062,4254.35366083676,4157
160,3056,5770,2383,9271,4327.32645176039,4205
161,3103,5881,2411,9451,4399.65793181298,4262
162,3153,5986,2442,9652,4471.01771833562,4309
163,3198,6089,2479,9850,4539.87503858023,4355
164,3244,6173,2511,10042,4607.2392489712,4389
165,3282,6258,2545,10229,4675.77066758117,4435
166,3322,6361,2565,10426,4741.03303898033,4479
167,3363,6474,2597,10660,4806.31371885003,4522
168,3406,6557,2621,10887,4871.06786122541,4551
169,3440,6654,2641,11040,4934.09456732967,4587
170,3473,6737,2659,11232,4995.65427383403,4626
171,3511,6834,2678,11442,5057.35096593508,4653
172,3543,6923,2706,11656,5117.66471907865,4700
173,3576,7008,2727,11861,5179.66870141749,4753
174,3607,7100,2743,12026,5239.13640403524,4785
175,3638,7185,2765,12251,5297.40131744399,4827
176,3662,7254,2786,12491,5355.67349965708,4857
177,3692,7328,2800,12711,5414.10255629856,4892
178,3713,7434,2815,12921,5469.77698473936,4922
179,3741,7525,2832,13162,5525.33691415181,4948
180,3767,7625,2851,13408,5580.18374056926,4970
181,3791,7719,2860,13632,5635.09078646549,4997
182,3815,7812,2875,13843,5689.08667981254,5031
183,3843,7902,2891,13980,5743.0723751143,5062
184,3862,7988,2913,14191,5795.40513117284,5079
185,3884,8071,2925,14416,5848.59170953362,5105
